Ingredient id,Ingredient name,Ingredient alias
HBIN013573,(&#8722;)-Alloaromad...,(&#8722;)-allo-Aroma...
HBIN013837,8-NONENOIC ACID,LMFA01030028; 8-none...
HBIN014104,9-HEXADECENOIC ACID,Palmitolinoleic acid...
HBIN014399,acetic acid,AI3-02394; NSC132953...
HBIN014428,Acetovanillin,ZINC00166877; NSC258...
HBIN014475,Acetylfuran,Methyl 2-furyl keton...
HBIN014593,Acoradiene,"Spiro(4,5)dec-7-ene,..."
HBIN014693,adenosine,SCHEMBL170902; adeno...
HBIN014730,adonilol,NA
HBIN014731,adonistal,NA
HBIN014732,Adonitol,AKOS015915193; SCHEM...
HBIN015102,aldehydo-D-ribose,"CHEBI:47014; (2R,3R,..."
HBIN015193,allantoin,"[2,5-dioxo-imidazoli..."
HBIN015368,alpha-amyrin,α-Amyrin; C08615; Ur...
HBIN015396,alpha & beta-amyrin,NA
HBIN015469,alpha-Cubebene,α-cubebene; α- cubeb...
HBIN015476,alpha-curcumene,"AC1MJ1DI; Benzene, 1..."
HBIN015510,alpha-Eudesmol,"92480-60-9; 2-[(2R,4..."
HBIN015515,alpha-Farnesene,alpha-farnesene; CHE...
HBIN015533,alpha-Guaiene,"(1S,4S,7R)-1,4-dimet..."
HBIN015547,alpha-humulene,"(1E,4E,8E)-2,6,6,9-t..."
HBIN015580,alpha-limonene,Goldflush II; p-Ment...
HBIN015584,alpha-linolenic acid,alpha-linolenic acid...
HBIN015590,α-Longipinene,α- Longipinene; α-lo...
HBIN015613,α-muurolene,α-Amorphene; α- Amor...
HBIN015651,(-)-alpha-Pinene,CHEBI:28660; ALPHA-P...
HBIN015681,α-spinasterol,LS-146748; α- spinas...
HBIN015682,α-Spinasterol-β-D-gl...,alpha-spinasterol-be...
HBIN015688,α-spinasteryl glucos...,NA
HBIN015704,alpha-terpineol,"(S)-alpha,alpha,4-tr..."
HBIN015851,Amide HPL,Amide 16; n-Hexadeca...
HBIN015941,Amylbenzene,"Pentane, 1-phenyl-; ..."
HBIN015950,Amylol,n-Pentan-1-ol; C5 al...
HBIN016087,angelicin,"Sobatum; 2H-furo[2,3..."
HBIN016255,(+)-Anomalin,"[(9R,10R)-8,8-dimeth..."
HBIN016505,Apocynin,1-(4-Hydroxy-3-metho...
HBIN016564,"Arabinose,d","Arabinose, D-; EINEC..."
HBIN016577,Ara-Furan-A,"(2R,3R,4R,5S)-2-(6-a..."
HBIN016691,areapillin,"2-(2,4-dihydroxy-5-m..."
HBIN017418,Ayapanin,220337_ALDRICH; NSC4...
HBIN017457,Azole,NSC62777; CCRIS 2933...
HBIN017516,baicalin,21967-41-9; STOCK1N-...
HBIN017652,BB_NC-0668,"(3R,4aS,5R)-3-isopro..."
HBIN017664,BdPh,3-Butylidenephthalid...
HBIN018012,beta-caryophyllene,"ZINC30726969; 4,11,1..."
HBIN018017,β-cedrene,beta-cedrene; DYLPEF...
HBIN018094,beta-elemene,MolPort-020-005-674;...
HBIN018110,β-eudesmol,2-Naphthaleneethanol...
HBIN018117,β-fenchene,beta-fenchene; beta-...
HBIN018118,(-)-beta-Fenchol,Bicyclo(2.2.1)heptan...
HBIN018138,beta-Gurjunene,"(1aR-(1aalpha,4alpha..."
HBIN018142,beta-heptenol,β-heptenol
HBIN018148,β-humulene,"(1E,5E)-1,4,4-trimet..."
HBIN018216,β-oplopenone,beta-oplopenone
HBIN018278,beta-sitosterol,24.alpha.-Ethylchole...
HBIN018337,beta-Terpinene,1-isopropyl-4-methyl...
HBIN018341,β-thujene,β-thu-jene; 4-methyl...
HBIN018729,(-)-Borneol,"endo-(1R)-1,7,7-Trim..."
HBIN019038,bupleurmol,NA
HBIN019208,C09704,"ZINC01531550; 1,6,10..."
HBIN019321,calacorene,α-calacorene; alpha-...
HBIN019685,caproic acid,"CAPRIC ACID, 99.5% (..."
HBIN019688,caprylic acid,Octanoic acid (mixed...
HBIN019690,capsaicin,8-Methyl-N-vanillyl-...
HBIN019691,capsaicin (e),capsaicin(e)
HBIN019800,carvone,(S)-5-Isopropenyl-2-...
HBIN019817,caryophyllene,Caryophyllene; NSC11...
HBIN019825,caryophyllene oxide,(-)-Caryophyllene ox...
HBIN020011,cedrenol,"1H-3a,7-Methanoazule..."
HBIN020251,CHEBI:39932,(R)-oct-1-en-3-ol; Z...
HBIN020253,CHEBI:7,"(1S,6R)-3,7,7-trimet..."
HBIN020292,chikusaikoside II,NA
HBIN020293,chikusaikoside II_qt,NA
HBIN020758,cis-2-Undecenal,(Z)-undec-2-enal
HBIN020831,cis-carveol,"(1R,5R)-(-)-cis-Carv..."
HBIN020862,cis-Hept-2-enal,(Z)-hept-2-enal; 2-H...
HBIN020876,cis-ligustilide,"(3E)-3-butylidene-4,..."
HBIN020907,cis-p-2-menthen- 1-o...,4beta-tert-Butyl-2-c...
HBIN020913,cis-pinocampheol,"(1S-(1alpha,2beta,3a..."
HBIN021095,"clementanoside a, b",NA
HBIN021422,copaene,Copaene; α-ylangene;...
HBIN021608,coumarin,KBio3_002764; HSDB 1...
HBIN021823,Cubebin,18423-69-3; (-)-Cube...
HBIN021902,Cumic acid,4-propan-2-ylbenzoat...
HBIN021904,cuminal,FEMA No. 2341; ZINC0...
HBIN021921,()-Cuparene,"1-methyl-4-[(1R)-1,2..."
HBIN022264,Cyclohexylisocyanate,ZINC01562082; Cycloh...
HBIN022393,CYH,EINECS 203-631-1; RC...
HBIN022407,Cymol,UN2046; p-methyl cum...
HBIN022705,darutoside,stigmasterol-beta-D-...
HBIN022815,DBP,NSC 6370; KBio2_0025...
HBIN022819,d-camphene,"(1R)-2,2-Dimethyl-3-..."
HBIN022885,dec-2-enal,3-Heptylacrolein; De...
HBIN022899,Decanal,1-Decanal; FEMA No. ...
HBIN023070,Dehydro-p-cymene,1-isopropenyl-4-meth...
HBIN023166,delta22-stigmastenol,NA
HBIN023190,delta-amorphene,"(1S,8aR)-4,7-dimethy..."
HBIN023213,delta-Terpineol,ZINC5439913; 7299-42...
HBIN023404,DEP,NSC8905; o-Bis(ethox...
HBIN023509,Dextrin Corn,D2006_SIGMA; ZINC038...
HBIN023623,DIBP,ST5405544; diisobuty...
HBIN024134,dioscin,LMST01080053; C08897...
HBIN024164,diosgenin,AKOS025402315; MolPo...
HBIN024310,d-limonene,DTXSID1020778; D-Lim...
HBIN024532,DTR,(R)-2-Amino-3-(3-ind...
HBIN024930,EIC,L1376_SIGMA; FEMA No...
HBIN025071,enanthic acid,9187-EP2292614A1; He...
HBIN025073,Encecalin,CHEMBL451983; CHEBI:...
HBIN025098,(E)-non-2-en-4-one,2-Nonen-4-one; 32064...
HBIN025219,(E)-oct-3-en-2-one,1669-44-9; FEMA No. ...
HBIN025445,(-)-Epoxycaryophylle...,361992_ALDRICH; 2183...
HBIN025796,esculetin,AIDS-014709; CCG-385...
HBIN025921,Ethyl geranate,"2,6-Octadienoic acid..."
HBIN025977,Ethyl protocatechuat...,InChI=1/C9H10O4/c1-2...
HBIN026062,EUG,4-Hydroxy-3-methoxyv...
HBIN026067,eugenol,EINECS 202-589-1; D0...
HBIN026071,eugenol methyl ether,SCHEMBL219169
HBIN026379,Farnesene,EINECS 207-948-6; 21...
HBIN026390,farnesylacetone,CHEBI:67252; FEMA No...
HBIN026516,FITONE,hexahydrofarnesylace...
HBIN026551,"FLAVONE,3,5,7-TRIHYD...","3',5,7-Trihydroxy-3,..."
HBIN026733,fraxetin,ZINC00113309; NCGC00...
HBIN026735,Fraxidin Methyl Ethe...,DivK1c_006182; Spect...
HBIN026766,friedelin,FRIEDELIN; 559-74-0;...
HBIN026872,Furfuranol,"2-Furanmethanol, hom..."
HBIN026881,Furol,2-Furfuraldehyde; NC...
HBIN027168,gamma-Undecalactone,C08571; (5S)-5-hepty...
HBIN027528,geraniol,"3,7-DIMETHYL-2,6-OCT..."
HBIN027538,geranyl acetate,"75157-67-4; (E)-3,7-..."
HBIN027539,geranylacetone,"(E)-6,10-dimethyl-5,..."
HBIN027568,Germacrene D,"C16142; (1E,6E,8S)-8..."
HBIN027927,GLB,7296-64-2; beta-D-ga...
HBIN028447,"(-)-Guaia-1(10),11-d...","(-)-guaia-1(10),11-d..."
HBIN028464,guaiacol,NA
HBIN028522,Guasol,HSDB 4241; 90-05-1; ...
HBIN029013,Hemo-sol,LIMONENE (D); ()-p-M...
HBIN029037,Henicosane,EINECS 211-118-9; he...
HBIN029090,Heptadekan,C01816; ALD-N019202;...
HBIN029094,Heptan-3-on,Ethylbutylcetone; Ae...
HBIN029101,heptanoic acid,Heptoic acid; 111-14...
HBIN029102,heptanol,MFCD00002986; HSDB 1...
HBIN029108,Heptenal,CCRIS 3505; 2-HEPTEN...
HBIN029110,Heptenoic acid,EINECS 233-769-8; NS...
HBIN029268,hexadecanoic acid,hexadecanoicacid; AC...
HBIN029295,Hexadienal,"(2E,4E)-hexa-2,4-die..."
HBIN029313,hexanal,26522-EP2287162A1; 2...
HBIN029328,hexanoic acid,(C6-C12) Alkylcarbox...
HBIN029338,Hexenal,LMFA06000002; AI3-35...
HBIN029419,Hirsutrin,"2-(3,4-dihydroxyphen..."
HBIN029648,Hyacinthin,HY1; c0210; alpha-To...
HBIN029831,hyperin,"2-(3,4-dihydroxyphen..."
HBIN029840,Hypnon,1-Phenylethanone; In...
HBIN029981,IFP,49771_FLUKA; Unigly ...
HBIN030033,i-linalool,NA
HBIN030257,IPH,"NCI-C50124; Phenol, ..."
HBIN030497,(+/-)-Isoborneol,"ZINC00968099; (1R,2R..."
HBIN030896,isoliquiritigenin,HCC; KBio2_000625; S...
HBIN030934,(-)-isomenthone,"(2S,5S)-2-isopropyl-..."
HBIN031089,ISOPULEGOL,59770_FLUKA; ZINC025...
HBIN031102,isoquercitrin,BDBM84979; FT-062750...
HBIN031106,isoquereetin,NA
HBIN031113,isorhammnetin,NA
HBIN031114,isorhamnetin,3'-O-Methylquercetin...
HBIN031129,Isorhamnetin-3-mono-...,"5,7-dihydroxy-2-(4-h..."
HBIN031331,Isovaleral,Aldehyde isovalerian...
HBIN031729,kaemferitin,NA
HBIN031751,kaempferitrin,"kaempferol-3,7-dirha..."
HBIN031753,kaempferol,TNP00039; nchembio.2...
HBIN031765,"kaempferol-3,7-α-L-d...",NA
HBIN031954,kaempferol-7-O-α-L-r...,NA
HBIN031959,kaempferol-7-O-rhamn...,"79YJI9GIF1; 3,5-DIHY..."
HBIN032583,(L)-alpha-Terpineol,(S)-(-)-alpha-terpin...
HBIN032754,lauric acid,NCGC00090919-01; CHE...
HBIN032807,L-Bornyl acetate,6626-35-3; 5655-61-8...
HBIN032812,l-carvone,ULDHMXUKGWMISQ-SECBI...
HBIN032849,ledol,1H-Cycloprop[e]azule...
HBIN033041,LFA,Icosane; 44818_FLUKA...
HBIN033170,lignoceric acid,tetracosoic acid; 46...
HBIN033236,Limetin,Spectrum5_001348; AI...
HBIN033265,linalool,CJ-23937; Spectrum5_...
HBIN033330,Linoleic,Bio1_001258; KBioSS_...
HBIN033339,linolenic acid,NSC 2042; NCGC000910...
HBIN033346,Linoleyl acetate,"octadeca-9,12-dien-1..."
HBIN033428,L-Limonen,(4S)-1-methyl-4-prop...
HBIN033440,l-Menthone,KBio2_006915; CHEBI:...
HBIN033499,longifolene,KB-00140; Junipene; ...
HBIN033504,Longikaurin A,longikaurin a
HBIN033528,Longispinogenin,AIDS-113414; AIDS113...
HBIN033529,Longispinogenin 3-O-...,longispinogenin 3-o-...
HBIN034752,menthyl acetate,"ACETIC ACID,METHYL E..."
HBIN034956,"methyl (2E,4E)-octad...","(2E,4E)-octadeca-2,4..."
HBIN035201,methyl (E)-octadec-2...,Methyl (2E)-2-octade...
HBIN035214,methyleugenol,"29T9VA6R7M; 1,4-Euge..."
HBIN035257,Methylheptane,"Heptane, 2-methyl-; ..."
HBIN035268,Methyl hexoate,hexanoic acid methyl...
HBIN035292,Methyl laurate,61689_FLUKA; NSC 502...
HBIN035316,Methyl myristate,RG9851783C; AX813951...
HBIN035317,Methyl naphthalene,AI3-15378; WLN: L66J...
HBIN035340,Methyl octylate,Methyl caprylate; 21...
HBIN035353,methyl palmitate,AN-22050; AX8129465;...
HBIN035364,methyl pentadecanoat...,METHYL PENTADECANOAT...
HBIN035423,Methyl stearate,"Ethyl stearate, anal..."
HBIN035573,Mipax,"benzene-1,2-dicarbox..."
HBIN035603,m-Methylacetophenone,ZINC01678782; Ethano...
HBIN035605,Mnk,WLN: 9V1; 46219_RIED...
HBIN036067,myrcene,7-Methyl-3-methylene...
HBIN036076,Myricadiol,AC1NSYWT; isomyricad...
HBIN036159,myristic acid,1-Tridecanecarboxyli...
HBIN036184,myrtanol,AC1L38DM; MFCD000664...
HBIN036185,myrtenal,"(1R)-(-)-Myrtenal, a..."
HBIN036189,myrtenol,AC1OE42N; ZINC100019...
HBIN036192,(+)-myrtenyl acetate,NA
HBIN036197,MYS,CH3-[CH2]13-CH3; 765...
HBIN036308,naphthalene,Caswell No. 587; Nap...
HBIN036311,"Naphthalene, 1,2,3,4...","(1R,4aS,8aS)-7-methy..."
HBIN036347,narcissin,LMPK12110586; Narcis...
HBIN036349,Narcissoside,Isorhamnetin 3-rutin...
HBIN036780,Neral,"3,7-DIMETHYL-2,6-OCT..."
HBIN036819,neryl acetate,"3, 6-octadienyl acet..."
HBIN036821,Nerylacetone,"5,9-Undecadien-2-one..."
HBIN037161,n-nonanol,AC1Q2W9K; 4-01-00-01...
HBIN037227,Nonacosanol,NSC53831; ST51047623...
HBIN037247,Nonadienal,"W321206_ALDRICH; 2,4..."
HBIN037250,nonanal,C9-11-Aldehydes; MFC...
HBIN037254,nonanoic acid,bmse000499; Nonansae...
HBIN037256,Nonanol,CAS-3452-97-9; 4-01-...
HBIN037258,Nonenoic acid,14812-03-4; 29830-11...
HBIN037260,Nonenone,non-3-en-2-one; 3-NO...
HBIN037277,nootkatone,"(4R,4aS,6R)-4,4a,5,6..."
HBIN037278,()-Nootkatone,"ZINC01081321; (4R,4a..."
HBIN037281,(-)-nopinene,"(1S,5S)-6,6-dimethyl..."
HBIN037562,n-tridecane,Tridekan; UNII-114P5...
HBIN037721,Octacosane,EINECS 211-125-7; NS...
HBIN037789,Octalupine,BRN 0087896; 4-25-00...
HBIN037795,octanoic acid,octanoic acid ; O-oc...
HBIN037796,octanol,ACMC-20apgg; AI3-372...
HBIN037803,OCTENAL,ZINC02013450; 2-Octe...
HBIN037902,Oktadekan,n-Octadecane; O652_A...
HBIN037940,oleanolic acid,Olean-12-en-28-oic a...
HBIN038026,oleic acid,Iron trioleate; cis-...
HBIN038132,O-Methylthymol,2-Isopropyl-5-methyl...
HBIN038301,Oroxindin,"(2S,3S,4S,5R,6S)-3,4..."
HBIN038398,o-Thymol,5-isopropyl-2-methyl...
HBIN038534,OYA,n-Octylal; BRN 17440...
HBIN038545,PAC,Kyselina fenyloctova...
HBIN038627,paeonol,CBiol_000986; 2&#824...
HBIN038680,palmitic acid,HSDB 5001; FEMA No. ...
HBIN038914,patchoulane,isopatchoulane
HBIN039000,PCR,LS-399; Cresols; Cre...
HBIN039004,p-Cymen-8-ol,AI3-00732; p-cymen-8...
HBIN039150,PENTADECYLIC ACID,EINECS 213-693-1; n-...
HBIN039165,pentanicacid,pentanic acid
HBIN039170,pentanol,78721-EP2292616A1; 7...
HBIN039185,PENTYLFURAN,2-Amylfuran; 2-Penty...
HBIN039366,petroselaidicacid,NA
HBIN039368,petroselinicacid,petroselinic acid
HBIN039372,petunidin,Petunidin 3-O-beta-D...
HBIN039478,phenol,"4-[5-phenyl-4,5-dihy..."
HBIN039500,phenylacetic acid,2-phenylethanoate; 2...
HBIN039636,PHPH,"NCGC00091836-02; 1,1..."
HBIN040257,PLO,Prestwick_859; Delta...
HBIN040275,PLY,"Palmitaldehyde, 16-H..."
HBIN040347,p-Ocimene,"3,7-Dimethylocta-1,3..."
HBIN041225,PTL,FEMA Number 3098; n-...
HBIN041253,puerarin,8-(beta-D-Glucopyran...
HBIN041273,pulegone,(5R)-5-methyl-2-(pro...
HBIN041278,Pulsatillic acid,pulsatillicacid; pul...
HBIN041335,py,110-86-1; Pyridin [G...
HBIN041495,quercetin,"2-(3,4-dihydroxyphen..."
HBIN042339,(R)-linalool,Spectrum5_000393; KB...
HBIN042348,RNS,"(2R,3R,4S,5S)-2,3,4,..."
HBIN042501,(R)-p-Menth-1-en-4-o...,20126-76-5; (&#8722;...
HBIN042670,rutin,"2-(3,4-dihydroxyphen..."
HBIN042691,"(S)-2,2,3-Trimethylc...",ZINC01063073; EINECS...
HBIN042771,saikochromicacid,NA
HBIN042772,saikochromoside a,NA
HBIN042777,saikogenin e,NA
HBIN042778,Saikogenin F,saikogenin f
HBIN042779,Saikogenin G,saikogenin g
HBIN042784,saikosaponin,NA
HBIN042787,saikosaponin a,20736-09-8; Saikosap...
HBIN042788,Saikosaponin B,saikosaponin b
HBIN042789,saikosaponin b1,SMR001397174; AKOS03...
HBIN042790,saikosaponin b1_qt,NA
HBIN042791,saikosaponin b2,SMR001397174; AKOS03...
HBIN042792,saikosaponin b2_qt,NA
HBIN042793,saikosaponin b3,SMR001397174; AKOS03...
HBIN042794,saikosaponin b3_qt,NA
HBIN042795,saikosaponin b4,SMR001397174; AKOS03...
HBIN042796,saikosaponin b4_qt,NA
HBIN042799,saikosaponin c,I06-1046
HBIN042800,saikosaponin c_qt,NA
HBIN042801,Saikosaponin D,saikosaponin d
HBIN042803,saikosaponin e,NA
HBIN042804,saikosaponin e_qt,NA
HBIN042805,Saikosaponin f,saikosaponin f
HBIN042808,Saikosaponin K,saikosaponin k
HBIN042815,saikosaponin q1,NA
HBIN042816,saikosaponin q2,NA
HBIN042819,saikosaponin s1,NA
HBIN042820,Saikosaponin t,"AC1O3DXV; (2S,3R,4S,..."
HBIN042821,Saikosaponin t_qt,NA
HBIN042823,Saikosaponin V,saikosaponin v
HBIN042824,saikosaponin v1,NA
HBIN042825,saikosaponin v2,NA
HBIN042827,Sainfuran,CHEBI:8998; CTK5G829...
HBIN043309,(s)-carvone,(S)-5-Isopropenyl-2-...
HBIN043437,scoparone,C-10265; EINECS 204-...
HBIN043445,Scopoletol,7-hydroxy-6-methoxy-...
HBIN044033,Silvan,NSC3707; EINECS 248-...
HBIN044199,(S)-Matsutake alcoho...,ZINC02026960; (S)-1-...
HBIN044475,spathulenol,spathulenol ; (-)-Sp...
HBIN044523,spinasterol,"Stigmasta-7,22-dien-..."
HBIN044730,stearic acid,4-02-00-01206 (Beils...
HBIN044735,stearin,Hardened oil; Stearo...
HBIN044918,stigmasterol,"(3beta,22E)-Stigmast..."
HBIN044939,Stigmasterol-beta-D-...,stigmasterol-beta-d-...
HBIN045577,tau-cadinol,NA
HBIN045820,TDA,91988_FLUKA; NSC 691...
HBIN045972,()-Terpinen-4-ol,(S)-1-Isopropyl-4-me...
HBIN046033,tetradecane,"Alkenes, C10-16 .alp..."
HBIN046150,TGL,Glycowax S 932; Octa...
HBIN046387,thymol,AIDS017743; Thymol (...
HBIN046393,Thymonin,LMPK12111474; DTXSID...
HBIN046642,"trans-2,4-decadienal","2,4-DECADIENAL; CCRI..."
HBIN046657,trans-2-nonenal,trans-2-Nonenal (nat...
HBIN046732,(+)-trans-Carveol,"(4S,6R)-trans-Carveo..."
HBIN046856,"trans,trans-nona-2,4...","EINECS 264-947-3; 2,..."
HBIN046867,TRD,LMFA11000001; Tridek...
HBIN047010,tridecanoicacid,ACMC-209nix; D06YGT;...
HBIN047263,Troxerutin,NA
HBIN047280,tryptophan,"(3s)2,3-dihydro-l-tr..."
HBIN047522,UND,UN2330; NSC 66159; H...
HBIN047535,undecanoicacid,undecanoic acid; SCH...
HBIN047546,Undekansaeure,n-Undecoic acid; FEM...
HBIN047558,UPL,74158_FLUKA; ARONIS0...
HBIN047580,uri-dineα- spinaster...,NA
HBIN047718,Valerophenone,EINECS 213-767-3; NS...
HBIN047744,vanillin,Methylprotocatechuic...
HBIN047745,vanillin acetate,A842489; UJGRGFLENAR...
HBIN047817,Veratryl alcohol,"3,4-Dimethoxyphenylm..."
HBIN047969,Vinyl amyl ketone,oct-1-en-3-one; ZINC...
HBIN047978,Vinylxylene,"Benzene, ethenyl-, d..."
HBIN048351,WLN: QV4,Valerianic acid; n-P...
HBIN048366,WLN: VH6,Heptaldehyde; AI3-02...
HBIN048368,WLN: VHR,InChI=1/C7H6O/c8-6-7...
HBIN048512,XLS,D-XYLOSE (LINEAR FOR...
HBIN048522,xylitol,Xylitol
HBIN048842,(Z)-caryophyllene,"(1S,4E,9S)-4,11,11-t..."
HBIN048928,ZINC00901303,InChI=1/C5H10O/c1-3-...
HBIN048941,ZINC01716732,"(3R)-3,7-dimethyloct..."
HBIN048966,ZINC03860615,"(3S,4R)-4-methylhept..."
HBIN049092,"(Z,Z)-farnesol","2,6,10-Dodecatrien-1..."
HBIN049105,γ-cadinene,γ- Cadinene; γ-Cadin...
HBIN049129,γ-heptalactone,NA
HBIN049156,γ-octalactone,γ- Octalactone
HBIN049158,γ-patchoulene,NA
HBIN049174,γ-undecalactone,γ- Undecalactone
HBIN049211,δ-cadinol,δ-cadinene; delta-ca...
HBIN000280,"11,13-Eicosadienoic ...","methyl (11E,13E)-ico..."
HBIN000328,"1,1,6-trimethyl-2H-n...","1,2-Dihydro-1,1,6-tr..."
HBIN001070,"1,3,5-trihydroxyxant...",NA
HBIN001307,13-Tetradecenyl acet...,tetradec-13-enyl eth...
HBIN001481,1-(4-hydroxy-3-metho...,1-(4-hydroxy-3-metho...
HBIN001867,"1,6-dihydroxy-3,5,7-...",MolPort-039-338-634;...
HBIN002102,"1,8 cineole","Eucalyptol, tested a..."
HBIN002119,"1,8-dihydroxy-4-hydr...",NA
HBIN002972,"1-phenyl-1,3-butaned...",KS-00000C21; CVBUKMM...
HBIN003295,"(1S,4S)-7-isopropyli...","(1S,4S)-1,4-dimethyl..."
HBIN003405,20-Hexadecanoylingen...,20-hexadecanoylingen...
HBIN003669,"2-(2,6-dihydroxyphen...","2-(2,6-dihydroxyphen..."
HBIN003917,"2',3',5,7-tetrahydro...",4H-1-Benzopyran-4-on...
HBIN004112,2-(3-hydroxy-4-metho...,NA
HBIN004835,"2,6,2',4'-tetrahydro...",NA
HBIN004836,"2,6,2',4'-tetrahydro...",NA
HBIN005011,"2',7-dihydroxy-4',5'...","2',7-Dihydroxy-4',5'..."
HBIN006535,(2R)-7-hydroxy-5-met...,ZINC00338038; (2R)-7...
