Mol ID,Molecule Name,MW,AlogP,Hdon,Hacc,OB (%),Caco-2,BBB,DL,FASA-,HL
MOL000036,beta-caryophyllene,204.39,4.75,0,0,29.70,1.83,2.07,0.09,0.00,
MOL003686,Narcissoside,624.60,-1.19,9,16,5.09,-2.14,-2.74,0.65,0.00,
MOL003786,patchoulane,206.41,4.37,0,0,16.21,1.78,2.20,0.11,0.21,
MOL000382,"Arabinose,d",150.15,-2.17,4,5,1.87,-1.59,-3.98,0.02,0.00,
MOL003837,esculetin,178.15,1.37,2,4,22.97,0.44,0.02,0.07,0.36,
MOL003839,"(-)-Guaia-1(10),11-dien-15-al",218.37,4.16,0,1,29.71,1.48,1.58,0.09,0.27,
MOL000040,Scopoletol,192.18,1.62,1,4,27.77,0.71,0.30,0.08,0.00,
MOL004067,()-Nootkatone,218.37,3.61,0,1,33.04,1.36,1.51,0.10,0.00,4.39
MOL000420,XLS,150.15,-2.17,4,5,51.08,-1.27,-3.58,0.02,0.00,11.37
MOL000422,kaempferol,286.25,1.77,4,6,41.88,0.26,-0.55,0.24,0.00,14.74
MOL000431,coumarin,146.15,1.90,0,2,29.17,1.20,1.30,0.04,0.00,
MOL004581,"[(1R,5S)-7,7-dimethyl-4-bicyclo[3.1.1]hept-3-enyl]methyl acetate",194.30,2.16,0,2,24.60,1.22,1.43,0.08,0.22,
MOL004582,Methyl naphthalene,142.21,3.23,0,0,39.01,1.90,1.91,0.04,0.47,11.81
MOL004583,11α-methoxysaikosaponin f,931.25,-0.32,11,18,2.00,-3.01,-3.80,0.08,0.22,
MOL004584,11α-methoxysaikosaponin f_qt,460.77,4.03,3,4,28.53,0.09,-0.42,0.75,0.22,
MOL004585,"2,4-Dodecadienal",180.32,4.12,0,1,17.79,1.46,1.57,0.03,0.29,
MOL004586,"trans,trans-nona-2,4-dienol",140.25,2.50,1,1,27.45,1.19,1.13,0.02,0.27,
MOL004587,Heptenoic acid,128.19,2.24,1,2,36.10,0.84,1.00,0.01,0.31,1.49
MOL004588,(2R)-2-methylcyclopentan-1-one,98.16,1.18,0,1,60.04,1.21,1.66,0.01,0.27,11.19
MOL004589,Methylheptane,114.26,3.82,0,0,28.65,1.79,2.12,0.01,0.21,
MOL000459,CHEBI:39932,128.24,2.53,1,1,32.79,1.12,1.23,0.01,0.00,5.71
MOL004590,2-METHYLHEXADECANE,240.53,7.92,0,0,4.19,1.84,2.01,0.07,0.16,
MOL004591,Nonenoic acid,156.25,3.15,1,2,65.17,0.95,1.08,0.02,0.29,4.57
MOL004592,2-Octenic acid,142.22,2.70,1,2,43.49,0.88,1.00,0.02,0.30,3.55
MOL004593,3'-O-Acetylsaikosaponin D,823.14,1.49,7,14,48.60,-1.60,-2.25,0.07,0.22,14.71
MOL004594,3'-O-Acetylsaikosaponin D_qt,472.78,3.71,3,4,26.16,0.16,-0.68,0.63,0.21,
MOL004595,"3',6'-O,O-diacetylsaikosaponin b2",865.18,1.92,7,15,17.74,-1.81,-2.69,0.09,0.24,
MOL004596,"3',6'-O,O-diacetylsaikosaponin b2_qt",472.78,3.77,4,4,14.19,-0.09,-0.99,0.74,0.21,
MOL004597,3'-O-acetylsaikosaponin b2,825.16,1.79,8,14,8.33,-1.71,-2.56,0.11,0.21,
MOL004598,"3,5,6,7-tetramethoxy-2-(3,4,5-trimethoxyphenyl)chromone",432.46,2.54,0,9,31.97,0.75,0.08,0.59,0.13,15.54
MOL004599,"3,3,5-trimethylheptane",142.32,4.28,0,0,47.49,1.80,2.10,0.02,0.25,10.76
MOL004600,"FLAVONE,3,5,7-TRIHYDROXY-3,4-DIMETHOXY",330.31,1.82,3,7,12.70,0.37,-0.50,0.33,0.31,
MOL004601,ZINC01716732,158.32,3.24,1,1,33.08,1.26,1.30,0.02,0.24,5.57
MOL004602,(3R)-3-methylcyclotridecan-1-one,210.40,4.62,0,1,37.65,1.47,1.78,0.07,0.16,7.26
MOL004603,"3-ETHYL-2-METHYL-1,3-HEXADIENE",124.25,3.62,0,0,45.42,1.85,2.14,0.01,0.29,11.81
MOL004604,Heptan-3-on,114.21,2.00,0,1,68.44,1.29,1.66,0.01,0.25,11.00
MOL004605,3-methyldodecane,184.41,6.10,0,0,5.73,1.81,2.03,0.03,0.19,
MOL004606,"4,8-dimethyltridecane",212.47,6.81,0,0,2.77,1.81,1.96,0.04,0.19,
MOL004607,ZINC03860615,130.26,2.65,1,1,26.21,1.23,1.39,0.01,0.23,
MOL004608,(5S)-5-butyloxolan-2-one,142.22,2.09,0,2,65.08,1.16,1.43,0.02,0.26,-0.76
MOL004609,Areapillin,360.34,2.29,3,8,48.96,0.60,-0.29,0.41,0.16,16.52
MOL004610,gamma-Undecalactone,184.31,3.46,0,2,49.12,1.25,1.41,0.04,0.22,4.48
MOL004611,5-methyl-5-ethyldecane,184.41,5.85,0,0,6.58,1.84,2.02,0.03,0.20,
MOL004612,5-methyldecane,156.35,5.19,0,0,15.23,1.81,2.04,0.02,0.20,
MOL004613,"6,7,3',8'-diligustilide",380.52,5.17,0,4,9.83,0.79,0.48,0.70,0.32,
MOL004614,Fraxidin Methyl Ether,236.24,1.85,0,5,18.15,0.77,0.66,0.12,0.21,
MOL004615,6-O-Vanilloylajugol,498.53,-1.31,6,12,12.83,-1.57,-2.33,0.86,0.28,
MOL004616,7-Octen-4-ol,128.24,2.39,1,1,31.46,1.13,1.15,0.01,0.28,3.91
MOL004617,Ayapanin,176.18,1.88,0,3,41.55,0.97,0.84,0.06,0.30,1.66
MOL004618,7-Methyltridecane,198.44,6.55,0,0,4.64,1.83,1.99,0.04,0.18,
MOL004619,8-NONENOIC ACID,156.25,2.78,1,2,52.31,0.94,1.00,0.02,0.30,4.54
MOL004620,Ara-Furan-A,267.28,-2.02,5,8,20.39,-1.65,-2.13,0.18,0.21,
MOL004621,Adonitol,152.17,-2.43,5,5,17.61,-1.34,-3.48,0.02,0.24,
MOL013187,Cubebin,356.40,3.19,1,6,57.13,0.47,-0.41,0.64,0.31,12.40
MOL004623,Encecalin,232.30,2.34,0,3,21.36,1.17,1.00,0.11,0.28,
MOL004624,Longikaurin A,348.48,1.16,3,5,47.72,0.08,0.09,0.53,0.27,1.71
MOL004625,Longispinogenin 3-O-beta-D-glucuronopyranoside,634.94,3.57,6,9,9.68,-1.08,-1.76,0.34,0.26,
MOL004626,Longispinogenin,458.80,5.11,3,3,14.48,0.23,-0.20,0.75,0.22,
MOL004627,Methyl hexoate,130.21,2.06,0,2,52.44,1.17,1.26,0.01,0.19,5.62
MOL004628,Octalupine,264.41,-0.07,1,4,47.82,0.48,0.30,0.28,0.17,4.17
MOL004629,PAC,136.16,1.47,1,2,72.35,0.84,0.97,0.02,0.43,-2.03
MOL012297,puerarin,416.41,-0.06,6,9,24.03,-1.15,-2.06,0.69,0.37,
MOL004631,"7,8,4'-Trihydroxyisoflavone",270.25,2.07,3,5,20.67,0.45,-0.37,0.22,0.41,
MOL004632,Pulsatillic acid,470.76,5.39,2,4,24.49,0.12,-0.47,0.77,0.27,
MOL004633,Saikogenin F,472.78,3.71,3,4,25.88,0.09,-0.71,0.63,0.21,
MOL004634,Saikogenin G,472.78,3.71,3,4,16.92,0.21,-0.55,0.63,0.21,
MOL004635,saikosaponin a,781.10,1.11,8,13,32.39,-1.95,-2.93,0.09,0.25,15.37
MOL004636,Saikosaponin B,781.10,1.17,9,13,5.94,-2.15,-3.13,0.13,0.23,
MOL004637,Saikosaponin D,781.10,1.11,8,13,34.39,-1.94,-2.89,0.09,0.25,15.16
MOL004638,Saikosaponin K,913.23,-0.07,11,17,2.94,-3.07,-3.80,0.06,0.25,
MOL004639,Saikosaponin V,"1,107.39",-3.28,16,24,3.23,-3.94,-4.91,0.03,0.24,
MOL004640,Saikosaponin f,929.28,0.76,11,17,1.76,-3.02,-4.02,0.08,0.25,
MOL004641,"(3S,4aS,6aR,6bS,8S,8aS,12aS,14aR,14bR)-4,4,6a,6b,11,11,14b-heptamethyl-8a-methylol-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicene-3,8-diol",458.80,5.11,3,3,12.07,0.23,-0.75,0.75,0.22,
MOL004642,Saikosaponin t,813.15,0.94,9,14,34.46,-2.26,-3.13,0.13,0.22,4.93
MOL004643,Saikosaponin t_qt,488.83,4.49,3,4,16.69,0.26,-0.23,0.71,0.19,
MOL004644,Sainfuran,286.30,3.38,2,5,79.91,0.90,0.23,0.23,0.22,8.58
MOL004082,TGL,891.67,22.26,0,6,15.13,0.54,-1.12,0.13,0.00,
MOL004646,Thymonin,360.34,2.29,3,8,1.97,0.65,-0.36,0.41,0.21,
MOL004647,TDA,214.39,5.00,1,2,22.32,1.04,0.89,0.05,0.21,
MOL004648,Troxerutin,346.56,5.89,3,3,31.60,0.35,-0.38,0.28,0.30,4.36
MOL004649,"1-[(2R,3R,4S,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",244.23,-2.45,4,8,17.85,-1.19,-1.69,0.11,0.29,
MOL004650,Acetovanillin,194.20,1.34,0,4,28.17,0.59,0.38,0.06,0.28,
MOL004651,cis-2-Undecenal,168.31,4.11,0,1,47.07,1.39,1.66,0.03,0.26,7.22
MOL004652,"(2R,3R,4S,5S,6R)-2-[[(3S,5S,9R,10S,13R,14R,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",574.93,5.89,4,6,21.20,-0.20,-0.99,0.63,0.21,
MOL004653,(+)-Anomalin,426.50,5.05,0,7,46.06,0.46,-.00,0.66,0.36,1.03
MOL004654,2-HEPTENOL,114.21,2.03,1,1,26.46,1.11,1.23,0.01,0.22,
MOL004655,PHPH,154.22,3.35,0,0,29.79,1.90,1.89,0.04,0.47,
MOL004656,(5R)-5-isopropyl-2-methyl-1-cyclohex-2-enone,152.26,2.56,0,1,35.17,1.35,1.69,0.03,0.29,11.52
MOL004657,caryophyllene oxide,220.39,3.52,0,1,29.06,1.57,1.70,0.13,0.27,
MOL004658,cedrenol,220.39,2.92,1,1,108.56,1.30,1.47,0.12,0.25,7.48
MOL004659,chikusaikoside II,943.26,-0.64,11,18,5.17,-3.14,-4.05,0.05,0.23,
MOL004660,chikusaikoside II_qt,472.78,3.71,3,4,17.48,0.15,-0.66,0.63,0.20,
MOL004661,"[(3R)-3,7-dimethyloct-6-enyl] acetate",198.34,3.43,0,2,45.54,1.34,1.39,0.04,0.27,5.58
MOL004662,Cyclohexylisocyanate,125.19,1.97,0,2,41.41,1.10,1.31,0.02,0.41,-2.88
MOL004663,Vinylxylene,132.22,3.35,0,0,20.79,1.91,2.06,0.02,0.42,
MOL004664,heptanoic acid,130.21,2.26,1,2,13.38,0.87,0.98,0.01,0.26,
MOL004665,Ethyl geranate,196.32,3.74,0,2,64.07,1.41,1.43,0.04,0.29,7.16
MOL004666,Ethyl protocatechuate,182.19,1.50,2,4,35.77,0.59,0.35,0.05,0.38,2.69
MOL004667,fraxetin,208.18,1.35,2,5,23.04,0.51,0.36,0.09,0.28,
MOL004668,GLB,180.18,-2.51,5,6,47.71,-1.89,-4.41,0.04,0.28,11.00
MOL004368,Hyperin,464.41,-0.59,8,12,6.94,-1.42,-2.08,0.77,0.00,
MOL004670,cis-pinocampheol,154.28,1.95,1,1,53.92,1.19,1.50,0.06,0.24,11.36
MOL004671,ISOPULEGOL,154.28,2.58,1,1,50.72,1.24,1.42,0.03,0.26,11.05
MOL000437,Hirsutrin,464.41,-0.59,8,12,1.86,-1.66,-2.31,0.77,0.00,
MOL004673,kaempferitrin,578.57,-0.45,8,14,8.16,-1.74,-2.65,0.79,0.30,
MOL004674,"kaempferol-3,7-α-L-dirhamnoside",578.57,-0.45,8,14,8.16,-1.75,-2.98,0.79,0.28,
MOL004675,kaempferol-7-O-rhamnoside,432.41,0.76,6,10,2.27,-0.91,-1.83,0.72,0.34,
MOL004676,kaempferol-7-O-α-L-rhamnoside,432.41,0.76,6,10,22.14,-0.91,-2.02,0.72,0.33,
MOL004677,ledol,222.41,3.20,1,1,82.78,1.32,1.55,0.12,0.22,12.11
MOL004678,Limetin,206.21,1.87,0,4,36.63,0.88,0.47,0.09,0.22,1.33
MOL004679,longifolene,204.39,4.18,0,0,39.49,1.83,2.08,0.11,0.23,11.20
MOL004680,cis-p-2-Menthen-1-ol,154.28,2.36,1,1,35.30,1.22,1.43,0.03,0.26,10.66
MOL004681,"(6S)-6-pentyl-5,6-dihydropyran-2-one",168.26,2.98,0,2,21.00,1.22,1.41,0.03,0.26,
MOL004682,Methyl octylate,158.27,2.97,0,2,18.71,1.23,1.32,0.02,0.18,
MOL004683,"methyl (2E,4E)-octadeca-2,4-dienoate",294.53,7.06,0,2,38.77,1.45,1.39,0.17,0.21,5.98
MOL004684,methyl (E)-octadec-2-enoate,296.55,7.51,0,2,29.84,1.42,1.40,0.17,0.18,
MOL004685,(E)-non-2-en-4-one,140.25,2.89,0,1,37.78,1.35,1.55,0.02,0.28,6.81
MOL004686,Nonenone,140.25,2.68,0,1,19.62,1.36,1.58,0.02,0.30,
MOL004687,2-octanone,128.24,2.25,0,1,19.29,1.35,1.57,0.01,0.25,
MOL004688,Cumic acid,164.22,2.63,1,2,45.78,1.03,1.10,0.04,0.38,-3.13
MOL002141,PLO,316.53,3.49,1,2,14.07,0.69,0.24,0.43,0.25,
MOL004690,RNS,164.18,-1.80,4,5,40.73,-1.30,-3.70,0.03,0.31,11.06
MOL004691,aldehydo-D-ribose,150.15,-2.17,4,5,40.76,-1.59,-4.17,0.02,0.30,11.26
MOL000415,rutin,610.57,-1.45,10,16,3.20,-1.93,-2.75,0.68,0.00,
MOL004693,saikosaponin b1,781.10,1.17,9,13,6.70,-2.14,-2.96,0.13,0.25,
MOL004694,saikosaponin b1_qt,472.78,3.77,4,4,13.45,-0.10,-1.03,0.74,0.21,
MOL004695,saikosaponin b2,781.10,1.17,9,13,20.45,-2.02,-2.94,0.13,0.22,
MOL004696,saikosaponin b2_qt,472.78,3.77,4,4,13.79,-0.15,-1.06,0.74,0.22,
MOL004697,saikosaponin b3,813.15,0.79,9,14,8.84,-2.24,-3.27,0.12,0.22,
MOL004698,saikosaponin b3_qt,504.83,3.40,4,5,18.92,-0.20,-1.00,0.69,0.20,
MOL004699,saikosaponin b4,813.15,0.79,9,14,9.56,-1.87,-2.95,0.12,0.20,
MOL004700,saikosaponin b4_qt,504.83,3.40,4,5,18.92,-0.22,-1.15,0.69,0.18,
MOL004701,saikosaponin c,943.26,-0.64,11,18,5.12,-2.92,-4.04,0.05,0.20,
MOL004702,saikosaponin c_qt,472.78,3.71,3,4,30.50,0.03,-0.85,0.63,0.20,6.12
MOL004703,saikosaponin e,765.10,2.20,7,12,17.70,-1.29,-2.18,0.09,0.23,
MOL004704,saikosaponin e_qt,456.78,4.80,2,3,17.62,0.65,-0.04,0.66,0.22,
MOL004705,"(3E,6S,7R)-3-butylidene-6,7-dihydroxy-4,5,6,7-tetrahydroisobenzofuran-1-one",224.28,1.32,2,4,34.34,-0.02,-0.19,0.10,0.30,4.20
MOL004706,spathulenol,220.39,3.01,1,1,80.01,1.26,1.31,0.12,0.26,12.19
MOL004707,tau-cadinol,222.41,3.78,1,1,36.51,1.31,1.42,0.09,0.23,7.84
MOL004708,δ-cadinol,222.41,3.78,1,1,14.03,1.33,1.45,0.09,0.23,
MOL004709,(+)-trans-Carveol,152.26,2.40,1,1,44.21,1.19,1.31,0.03,0.31,11.64
MOL004710,DTR,204.25,1.25,4,3,75.63,0.29,0.05,0.08,0.29,-2.10
MOL004711,Veratryl alcohol,168.21,1.19,1,3,71.49,0.67,0.45,0.04,0.21,6.57
MOL004712,xylitol,152.17,-2.43,5,5,27.37,-1.51,-3.80,0.02,0.21,
MOL004713,alpha-Eudesmol,222.41,3.67,1,1,25.02,1.31,1.29,0.10,0.25,
MOL004714,"(1R,4S)-7,7-dimethyl-2-methylenenorbornane",136.26,2.93,0,0,41.06,1.80,2.13,0.04,0.26,11.22
MOL004715,"(4aS,9aS)-2,9,9-trimethyl-5-methylene-4,4a,6,7,8,9a-hexahydro-3H-benzo[7]annulene",204.39,4.75,0,0,48.89,1.82,2.01,0.08,0.26,5.01
MOL004716,"(1S,4R)-2,3-dimethylbicyclo[2.2.1]hept-2-ene",122.23,2.86,0,0,43.09,1.84,2.26,0.03,0.25,11.40
MOL004717,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",204.39,4.75,0,0,23.86,1.84,2.05,0.08,0.27,
MOL004718,α-spinasterol,412.77,7.64,1,1,42.98,1.28,0.79,0.76,0.22,6.46
MOL004719,α-spinasteryl glucoside,574.93,5.89,4,6,21.20,-0.15,-0.89,0.63,0.22,
MOL004720,β-cedrene,204.39,4.18,0,0,54.35,1.79,2.12,0.11,0.25,5.01
MOL004721,β-fenchene,136.26,2.63,0,0,39.16,1.80,2.22,0.04,0.25,11.13
MOL004722,β-oplopenone,220.39,3.49,0,1,42.08,1.42,1.67,0.09,0.29,12.17
MOL004723,beta-Terpinene,136.26,3.50,0,0,42.29,1.85,2.12,0.02,0.29,11.21
MOL004724,γ-cadinene,204.39,4.80,0,0,23.40,1.84,2.05,0.08,0.26,
MOL004725,(5S)-5-hexyloxolan-2-one,170.28,3.00,0,2,19.71,1.24,1.30,0.03,0.22,
MOL004726,(5S)-5-propyloxolan-2-one,128.19,1.63,0,2,78.49,1.13,1.36,0.02,0.26,10.75
MOL004727,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",204.39,4.80,0,0,21.35,1.84,2.10,0.08,0.27,
MOL004728,γ-patchoulene,204.39,4.18,0,0,54.63,1.81,2.24,0.11,0.25,12.23
MOL000479,Farnesene,204.39,5.52,0,0,17.42,1.95,2.21,0.05,0.00,
MOL000490,petunidin,317.29,1.65,5,7,30.05,0.16,-0.64,0.31,0.00,1.21
