TCMBank ID,Ingredient name,Alias,Molecular formula,Molecular weight
TCMBANKIN001861,ZINC01716732,"(3R)-3,7-dimethyloctan-3-ol",,158.32
TCMBANKIN001890,cis-ligustilide,"(3E)-3-butylidene-4,5-dihydro-2-benzofuran-1-one; (3E)-3-butylidene-4,5-dihydroisobenzofuran-1-one",C12H14O2,190.24
TCMBANKIN001911,Encecalin,"CHEMBL451983; CHEBI:4789; NSC603929; C09005; 1-(7-Methoxy-2,2-dimethyl-2H-1-benzopyran-6-yl)ethanone; Ketone, 7-methoxy-2,2-dimethyl-2H-1-benzopyran-6-yl methyl; 20628-09-5; encecalin; 4CN-1599; SCHEMBL4310132; WXVLCNREBFDEKS-UHFFFAOYSA-N; AKOS032948499; NSC-603929; 1-(7-methoxy-2,2-dimethyl-2h-chromen-6-yl)ethanone; ZINC897924; Isolated from Asteraceae plants; Encecaline; NSC 603929; 1-(7-methoxy-2,2-dimethyl-chromen-6-yl)ethanone; ACon1_002222; 1-(7-methoxy-2,2-dimethylchromen-6-yl)ethanone; Encecalin (methyleupatoriochromene); Ethanone,1-(7-methoxy-2,2-dimethyl-2H-1-benzopyran-6-yl)-; W1949; AC1Q5GA2; 6-acetyl-7-methoxy-2,2-dimethylchromene; 1-(7-methoxy-2,2-dimethyl-6-chromenyl)ethanone; MolPort-001-742-371; AC1L3FTK; CTK8D7503; MEGxp0_001567; NP-009521; MCULE-1012949526",C14H16O3,232.27
TCMBANKIN001917,Hexadienal,"(2E,4E)-hexa-2,4-dienal; FEMA No. 3429; AIDS-017580; trans,trans-2,4-Hexadienal; 73506-81-7; Hexa-2,4-dienal; BRN 1698401; AIDS017580; NSC 16184; 4488-48-6; 1,3-Pentadiene-1-carboxaldehyde; 2,4-Hexadienal, (E,E)-; 2,4-Hexadienal, (2E,4E)-; NSC 68096; 52477_FLUKA; EINECS 205-564-3; CCRIS 5124; 2,4-Hexadienal, trans,trans-; SBB006613; HSDB 7239; AI3-31142; W342904_ALDRICH; 2,4-Hexadienal (89% trans,trans;11% cis,trans); NCGC00090786-01; 142-83-6; 2-Propyleneacrolein; ZINC01733897; LMFA06000006; CCRIS 4030; InChI=1/C6H8O/c1-2-3-4-5-6-7/h2-6H,1H3/b3-2+,5-4; 3-Propyleneacrolein; 4-01-00-03545 (Beilstein Handbook Reference); 2,4-Hexadienal (89% trans,trans-, 11% cis,trans-); 180343_ALDRICH; Sorbic aldehyde",C6H8O,96.13 g/mol
TCMBANKIN002536,3-Furaldehyde,3-Furancarboxaldehyde; furan-3-carbaldehyde; ZINC02040441; W501603_ALDRICH; 498-60-2; FURAN-3-ALDEHYDE; InChI=1/C5H4O2/c6-3-5-1-2-7-4-5/h1-4; 278866_ALDRICH; 3-furaldehyde; 47995_FLUKA; SBB004385,C5H4O2,96.08
TCMBANKIN002667,allantoin,"[2,5-dioxo-imidazolidin-(4e)-ylidene]-urea; (2,5-dioxoimidazol-4-yl)urea; AKOS016004588; AJ-81964; 2AL; AX8170921; BG00903559; DTXSID00425870; KB-212680; X4187; 1-(2,5-DIOXO-2,5-DIHYDRO-1H-IMIDAZOL-4-YL)UREA; CTK8C1374; AC1OA9WW; SCHEMBL9203157; TC-155121; AK-55526; 2,5-DIOXO-1H-IMIDAZOL-4-YLUREA; ZINC24779397; 105245-87-2; ANW-66376",C4H6N4O3,158.12
TCMBANKIN002954,vanillin acetate,A842489; UJGRGFLENARMJS-UHFFFAOYSA-N; ANW-38959; ACMC-209qrl; ACETIC ACID; VANILLIN; AKOS025244005; KB-62228; TRA0058976; TC-127704; ethanoic acid; 3-methoxy-4-oxidanyl-benzaldehyde; SCHEMBL81718; acetic acid; 4-hydroxy-3-methoxybenzaldehyde,C10H12O5,212.2 g/mol
TCMBANKIN003014,cis-pinocampheol,"(1S-(1alpha,2beta,3alpha,5alpha))-2,6,6-Trimethylbicyclo(3.1.1)heptan-3-ol; 24041-60-9; 2,6,6-trimethyl-bicyclo[3.1.1]heptan-3-ol; 2,6,6-trimethylbicyclo[3.1.1]heptan-3-ol; ZINC04528684; EINECS 245-998-0; (2exoH)-pinan-3exo-ol; (1S,2S,3S,5R)-2,7,7-trimethylbicyclo[3.1.1]heptan-3-ol; bicyclo[3.1.1]heptan-3-ol, 2,6,6-trimethyl-; (1S,2S,3S,5R)-2,6,6-trimethylnorpinan-3-ol; InChI=1/C10H18O/c1-6-8-4-7(5-9(6)11)10(8,2)3/h6-9,11H,4-5H2,1-3H; (1S,2S,3S,5R)-2,6,6-trimethyl-3-norpinanol; 473-61-0",C10H18O,154.25
TCMBANKIN003355,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene","(3R,4aR,8aR)-5,8a-dimethyl-3-prop-1-en-2-yl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",C15H24,204.35
TCMBANKIN003736,3'-O-acetylsaikosaponin b2,,,825.16
TCMBANKIN003805,TDA,"91988_FLUKA; NSC 69131; 4-02-00-01117 (Beilstein Handbook Reference); NSC 25955; EINECS 211-341-1; T0502_SIGMA; (C10-C16)Alkylcarboxylic acid; EINECS 268-105-6; Tridecanoic acid; LMFA01010013; NSC69131; AI3-04166; 638-53-9; 68002-90-4; Fatty acids, C10-16; (C10-C16) Carboxylic acid; n-Tridecanoic acid; NCIOpen2_003250; WLN: QV12; n-Tridecoic acid; TRIDECYLIC ACID; CHEBI:45919; BRN 0508317; NSC25955",C13H26O2,214.34
TCMBANKIN003917,"(1R,4S,5R)-4-isopropenyl-1,8-dimethylspiro[4.5]dec-8-ene","(1R,4S,5R)-4-isopropenyl-1,8-dimethyl-spiro[4.5]dec-8-ene; (1R,4S,5R)-1,8-dimethyl-4-prop-1-en-2-ylspiro[4.5]dec-8-ene; (1R,4S,5R)-1,8-dimethyl-4-prop-1-en-2-yl-spiro[4.5]dec-8-ene",C15H24,204.35
TCMBANKIN004033,()-Nootkatone,"ZINC01081321; (4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-3,4,5,6,7,8-hexahydronaphthalen-2-one; 74437_FLUKA; BB_NC-1524; (4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one; 93785_FLUKA",C15H22O,218.33
TCMBANKIN004057,Octalupine,"BRN 0087896; 4-25-00-00082 (Beilstein Handbook Reference); Lupanine, 13-alpha-hydroxy-; Lupanine, 13alpha-hydroxy- (8CI); Lupanine, hydroxy-; 15358-48-2; SCHEMBL4260109; 13-Hydroxylupanine; Lupanine, hydroxy- (6CI); 13alpha-Hydroxylupanine; (1S,2R,9S,10S,12S)-12-HYDROXY-7,15-DIAZATETRACYCLO[7.7.1.0(2),?.0(1)?,(1)?]HEPTADECAN-6-ONE; 13-alpha-Hydroxylupanine; LUPANINE, 13-HYDROXY-; 7,14-Methano-2H,11H-dipyrido(1,2-a:1',2'-e)(1,5)diazocin-11-one, dodecahydro-2-hydroxy-, (2S-(2alpha,7beta,7abeta,14beta,14aalpha))-; Lupanine, 13alpha-hydroxy-; d-Hydroxylupanine; Alkaloid C 2, from Cadia purpurea; 320ZHE5W55; ZINC5191431; 7,14-Methano-2H,11H-dipyrido[1,2-a:1',2'-e][1,5]diazocin-11-one,dodecahydro-2-hydroxy-, (2S,7S,7aR,14S,14aS)-; NSC 70827; Dodecahydro-2-hydroxy-7,14-methano-2H,11H-dipyrido(1,2-a:1',2'-e)(1,5)diazocin-11-one (2S-(2alpha,7beta,7abeta,14beta,14aalpha))-; BG00615259; Hydroxylupanine; 13-Oxylupanine; 13-Hydroxylupanin; (+)-13-Hydroxylupanine; octalupine; 7,14-Methano-4H,6H-dipyrido(1,2-a:1',2'-e)(1,5)diazocin-4-one, dodecahydro-9-hydroxy-, (7S-(7alpha,7abeta,9beta,14alpha,14aalpha))-; AC1Q6LQH; 6809-89-8 (hydrochloride); 7,14-Methano-4H,6H-dipyrido(1,2-a:1',2'-e)(1,5)diazocin-4-one, dodecahydro-9-hydroxy-, (7S-(7alpha,7abeta,9beta,14alpha,14aalpha))- (9CI); LS-88189; InChI=1/C15H24N2O2/c18-12-4-5-16-8-10-6-11(14(16)7-12)9-17-13(10)2-1-3-15(17)19/h10-14,18H,1-9H2/t10?,11?,12-,13-,14-/m0/s; Hydroxylupanin; Oxylupanine; Jamaidine; UNII-320ZHE5W55; Luparine, hydroxy-",C15H24N2O2,264.36 g/mol
TCMBANKIN005088,"5,8-Dihydroxy-6,7-dimethoxyflavone","LMPK12111431; 5,8-dihydroxy-6,7-dimethoxyflavone; SCHEMBL8160531; 5,8-dihydroxy-6,7-dimethoxy-2-phenyl-4-chromenone; 5,8-dihydroxy-6,7-dimethoxy-2-phenyl-chromone; AKOS030557619; 5,8-dihydroxy-6,7-dimethoxy-2-phenyl-chromen-4-one; 73202-52-5; 5,8-Dihydroxy-6,7-dimethoxy-2-phenyl-4H-chromen-4-one; 6,7-Dimethoxy-5,8-dihydroxy flavone; DTXSID20223451; CTK5D7548; AK588642; 5,8-dihydroxy-6,7-dimethoxy-2-phenylchromen-4-one; AC1L4ADP",C17H14O6,314.29
TCMBANKIN005193,adonistal,,,
TCMBANKIN005255,DEP,"NSC8905; o-Bis(ethoxycarbonyl)benzene; 68988-18-1; W512206_ALDRICH; EINECS 201-550-6; 48561_SUPELCO; Anozol; Diethyl phthalate; Diethyl Phthalate [USAN]; PHTHALIC ACID,DIETHYL ESTER; NCGC00090974-03; Unimoll DA; EINECS 273-520-0; WLN: 2OVR BVO2; C14175; diethyl benzene-1,2-dicarboxylate; RCRA waste no. U088; o-Benzenedicarboxylic acid, diethyl ester; Solvanol; NCI-C60048; AI3-00329; 1,2-Benzenedicarboxylic acid, diethyl ester; CCRIS 2675; 4-09-00-03172 (Beilstein Handbook Reference); 1,2-Benzenedicarboxylic acid, di-C4-13-alkyl esters; NCGC00090974-01; Diethyl o-phthalate; 524972_ALDRICH; HSDB 926; Diethylphthalate; o-Benzenedicarboxylic acid diethyl ester; Estol 1550; Neantine; NSC 8905; ST5406385; DPX-F5384; ZINC00001287; Palatinol A; Phthalsaeurediaethylester; Phthalsaeurediaethylester [German]; CHEBI:34698; D03804; 84-66-2; Diethyl phthalate/dimethyl phthalate; BRN 1912500; 53008_FLUKA; RCRA waste number U088; NCGC00090974-02; InChI=1/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H; Phthalic acid, diethyl ester; Placidol E; Diethyl 1,2-benzenedicarboxylate; Phthalol; Diethyl o-phenylenediacetate; benzene-1,2-dicarboxylic acid diethyl ester; W517909_ALDRICH; 80080_FLUKA; Ethyl phthalate; Di-n-ethyl phthalate; Diethylester kyseliny ftalove [Czech]; Diethyl phthalate (NF)",C6H4(COOC2H5)2,222.24 g/mol
TCMBANKIN005306,2-Hexanoylfuran,"2-hexanoylfuran; 1-(2-furyl)hexan-1-one; 1-Hexanone, 1-(2-furyl)-; 14360-50-0; 1-(2-Furanyl)-1-hexanone; FR-1262; FEMA No. 3418; Pentyl 2-furyl ketone; NSC27361; SBB008342; NSC 27361; 1-(2-Furyl)-1-hexanone; AI3-26556; 1-Hexanone, 1-(2-furanyl)-; EINECS 238-333-0; InChI=1/C10H14O2/c1-2-3-4-6-9(11)10-7-5-8-12-10/h5,7-8H,2-4,6H2,1H; 1-furan-2-ylhexan-1-one; 2-Furyl pentyl ketone; 2-Furyl n-pentyl ketone; 1-(2-Furyl)hexanone",C10H14O2,166.22
TCMBANKIN005317,"(6S)-6-pentyl-5,6-dihydropyran-2-one","(6S)-6-amyl-5,6-dihydropyran-2-one; NCI60_041517; NSC721360; (R)- 5,6-Dihydro-6-pentyl-2H-pyran-2-one",C10H16O2,168.23
TCMBANKIN005416,β-oplopenone,beta-oplopenone,C15H24O,220.35
TCMBANKIN005447,kaemferitin,,,
TCMBANKIN005786,delta22-stigmastenol,,,0
TCMBANKIN005787,bupleurmol,,,
TCMBANKIN006130,cis-p-2-menthen- 1-ol,"4beta-tert-Butyl-2-cyclohexen-1beta-ol; (1R,4S)-4-tert-butyl-1-cyclohex-2-enol; (1R,4R)-1-methyl-4-propan-2-yl-cyclohex-2-en-1-ol; 2-Cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, (1R,4R)-rel-; (1R,4R)-4-isopropyl-1-methyl-cyclohex-2-en-1-ol; cis-1-Methyl-4-(1-methylethyl)-2-cyclohexen-1-ol; (1R,4R)-1-methyl-4-propan-2-ylcyclohex-2-en-1-ol; cis-p-2-menthen-1-ol; (1R,4R)-4-isopropyl-1-methyl-1-cyclohex-2-enol; 2-Cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, cis-; cis-p-2-Menthen-1-ol; cis-4-(Isopropyl)-1-methylcyclohex-2-en-1-ol; EINECS 249-860-0; AC1O5388; (1R,4S)-4-tert-butylcyclohex-2-en-1-ol; NGXNAIZTJAUMGV-BDAKNGLRSA-N; 29803-82-5",C10H18O,154.25 g/mol
TCMBANKIN006293,"3,3,5-trimethylheptane",,C10H22,142.28
TCMBANKIN006434,narcissin,LMPK12110586; Narcissin; SCHEMBL1305421,C28H32O16,624.54
TCMBANKIN007072,80-57-9,"Bicyclo(3.1.1)hept-3-en-2-one, 4,6,6-trimethyl-; (1R,5R)-2,7,7-trimethylbicyclo[3.1.1]hept-2-en-4-one; (1R,5R)-2,7,7-trimethyl-4-bicyclo[3.1.1]hept-2-enone; EINECS 201-292-4; EPA Pesticide Chemical Code 128986; 4,6,6-Trimethylbicyclo(3.1.1)hept-3-en-2-one; NCGC00142604-01; ZINC00967600; AI3-23127",C10H14O,150.22
TCMBANKIN007380,Sainfuran,"CHEBI:8998; CTK5G8291; AC1L4G18; 5-Benzofuranol, 2-(2-hydroxy-4-methoxyphenyl)-6-methoxy-; 2-(2-hydroxy-4-methoxyphenyl)-6-methoxy-5-benzofuranol; 2-(2-hydroxy-4-methoxy-phenyl)-6-methoxy-1-benzofuran-5-ol; 2-(2-hydroxy-4-methoxyphenyl)-6-methoxy-1-benzofuran-5-ol; LMPK12160040; sainfuran; 90664-32-7; C08974; 2-(2-hydroxy-4-methoxy-phenyl)-6-methoxy-benzofuran-5-ol",C16H14O5,286.28
TCMBANKIN007431,Linoleyl acetate,"octadeca-9,12-dien-1-yl acetate; acetic acid [(9E,12E)-octadeca-9,12-dienyl] ester; [(9E,12E)-octadeca-9,12-dienyl] ethanoate; 5999-95-1; FT-0635935; linoleyl acetate; [(9E,12E)-octadeca-9,12-dienyl] acetate",C20H36O2,308.5
TCMBANKIN008080,"kaempferol-3,7-α-L-dirhamnoside",,,578.57
TCMBANKIN008219,7-Octen-4-ol,oct-7-en-4-ol; 53907-72-5; AKOS011019332; 7-OCTEN-4-OL; 7-octen-4-ol; AC1L24QG; SCHEMBL2474318; CTK8J1312; 87830-31-7; MJWKMORBWQZWOT-UHFFFAOYSA-N,C10H18O,154.25
TCMBANKIN008312,ISOPULEGOL,"59770_FLUKA; ZINC02558675; (1R,2S,5R)-2-isopropenyl-5-methyl-1-cyclohexanol; W296236_ALDRICH; W296228_ALDRICH; ZINC12153978; 50373-36-9; I28003_ALDRICH; 439061_ALDRICH; (1)-(1alpha,2beta,5alpha)-5-Methyl-2-(1-methylvinyl)cyclohexan-1-ol; EINECS 256-557-7; (?)-Neoisoisopulegol; SCHEMBL8818931; (&#8722;)-Isopulegol; 59905-53-2; (1R,2S,5R)-2-isopropenyl-5-methyl-cyclohexan-1-ol; (1R,2S,5R)-2-Isopropenyl-5-methylcyclohexanol; NSC1263; (1R,3R,4S)-p-Menth-8-en-3-ol; Cyclohexanol, 5-methyl-2-(1-methylethenyl)-, (1R,2S,5R)-rel-; isopulegol; (1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol; (1R,2S,5R)-5-methyl-2-prop-1-en-2-yl-cyclohexan-1-ol",C10H18O,154.25
TCMBANKIN008438,Saikosaponin K,saikosaponin k,C54H88O22,1089.3 g/mol
TCMBANKIN009051,(5R)-5-isopropyl-2-methyl-1-cyclohex-2-enone,(5R)-2-methyl-5-propan-2-yl-cyclohex-2-en-1-one; (5R)-2-methyl-5-propan-2-ylcyclohex-2-en-1-one; (5R)-5-isopropyl-2-methyl-cyclohex-2-en-1-one,C10H16O,152.23
TCMBANKIN009388,3-methylcyclotridecan-1-one,"Cyclotridecanone,3-methyl-; 61415-11-0; 3-Methylcyclotridecanone; EINECS 262-772-7; AKOS030592914; CTK5B3200; 3-Methylcyclotridecan-1-one; SCHEMBL14118250; AK633836; AC1MI4F5",C14H26O,210.36 g/mol
TCMBANKIN009433,saikochromicacid,,,
TCMBANKIN009462,chikusaikoside II_qt,,,472.78
TCMBANKIN010060,chikusaikoside II,,,943.26
TCMBANKIN010903,(S)-Matsutake alcohol,ZINC02026960; (S)-1-Octen-3-ol; (S)-oct-1-en-3-ol; (3S)-oct-1-en-3-ol; CHEBI:46735; 3OL; 40577_FLUKA,C8H16O,128.21
TCMBANKIN010965,myrtanol,"AC1L38DM; MFCD00066424; [(1R,4R,5R)-6,6-dimethyl-4-bicyclo[3.1.1]heptanyl]methanol; ((1S,2R,5S)-6,6-dimethylbicyclo[3.1.1]heptan-2-yl)methanol; (-)-cis-Myrtanol; (1S,2R)-10-Pinanol; LDWAIHWGMRVEFR-CIUDSAMLSA-N; SCHEMBL3653711; (1beta,5beta)-6,6-Dimethylbicyclo[3.1.1]heptane-2alpha-methanol; cis-Myrtanol; ZINC2242637; [(1S,2R,5S)-6,6-DIMETHYLBICYCLO[3.1.1]HEPTAN-2-YL]METHANOL; ((1S,2R,5S)-6,6-dimethylbicyclo[3.1.1]-heptan-2-yl)methanol; (1S,2R)-6,6-Dimethylbicyclo[3.1.1]heptane-2-methanol; (-)-cis-Myrtanol, analytical standard; AKOS006237611; Bicyclo[3.1.1]heptane-2-methanol, 6,6-dimethyl-, (1S,2R,5S)-; AC1Q2CC5; 51152-12-6",C10H18O,154.25 g/mol
TCMBANKIN011176,pentanicacid,pentanic acid,,
TCMBANKIN011396,"(6R)-2,6-dimethyloctane",,C10H22,142.28
TCMBANKIN011806,Acetovanillin,"ZINC00166877; NSC25863; (4-methanoyl-2-methoxy-phenyl) ethanoate; Benzaldehyde, 4-(acetyloxy)-3-methoxy-; W310808_ALDRICH; 4-(Acetyloxy)-3-methoxybenzaldehyde; ST5213429; acetic acid (4-formyl-2-methoxyphenyl) ester; 4-Formyl-2-methoxyphenol acetate; Vanillin acetate; NSC 8499; O-Acetylvanillin; Acetylvanillin; (4-formyl-2-methoxyphenyl) acetate; Vanillin, acetate; 4736-37-2; 881-68-5; NSC 25863; Vanillin, acetate (8CI); 258601_ALDRICH; (4-formyl-2-methoxy-phenyl) acetate; 4-O-Acetylvanillin; acetic acid (4-formyl-2-methoxy-phenyl) ester; 4-Formyl-2-methoxyphenyl acetate; FEMA No. 3108; NSC8499; EINECS 212-920-1; 4-Acetoxy-3-methoxybenzaldehyde",C10H10O4,194.18
TCMBANKIN012257,(3R)-3-methylcyclotridecan-1-one,(3R)-3-methyl-1-cyclotridecanone,C14H26O,210.36
TCMBANKIN012577,adonilol,,,
TCMBANKIN012627,"(1R,5S)-7,7-dimethyl-4-bicyclo[3.1.1]hept-3-enecarboxaldehyde","BB_NC-0154; ZINC00968030; (1R,5S)-7,7-dimethylbicyclo[3.1.1]hept-3-ene-4-carbaldehyde",C10H14O,150.22
TCMBANKIN012857,kaempferol-7-O-α-L-rhamnoside,,,432.41
TCMBANKIN012868,Saikogenin F,saikogenin f,C30H48O4,472.7 g/mol
TCMBANKIN013032,"(1R,2R,4S)-2,4-diisopropenyl-1-methyl-1-vinylcyclohexane","(1R,2R,4S)-2,4-diisopropenyl-1-methyl-1-vinyl-cyclohexane; (1R,2R,4S)-1-ethenyl-1-methyl-2,4-di(prop-1-en-2-yl)cyclohexane",C15H24,204.35
TCMBANKIN013540,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene","(1R,4aR,8aS)-7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",C15H24,204.35
TCMBANKIN014144,"methyl (2E,4E)-octadeca-2,4-dienoate","(2E,4E)-octadeca-2,4-dienoic acid methyl ester; 28061-47-4",C19H34O2,294.5 g/mol
