Ingredient ID,Formulae,Name,MW,AlogP,MlogP,XlogP,# HBA,# HBD,PSA,# Rotatable Bond,# Ring,# Heacy Atom,Lipinski RO5 Violation
TCMC544,C11H20O2,5-Heptyloxolan-2-One,184.15,-2.0714,2.45,3.882,2,0,26.3,7,1,13,0
TCMC57,C15H20O,(2E)-2-Benzylideneoctanal,216.15,-0.9585,3,6.906,1,0,17.07,8,1,16,1
TCMC5737,C10H6O6,Saikochromic Acid,221.0086129,-2.1494,1.9,-1.092,6,2,97.66,1,2,16,0
TCMC5901,C30H50O3,Longispinogenin,458.3759955,1.3478,4.43,8.336,3,3,60.69,1,5,33,1
TCMC60,C10H16O,"(2E,4E)-Deca-2,4-Dienal",152.12,0.0794,2.45,3.682,1,0,17.07,7,0,11,0
TCMC631,C5H5N5,Adenine,135.05,-1.1703,1.46,-0.664,5,2,80.48,1,2,10,0
TCMC6437,C30H48O3,Saikogenin E,456.3603454,1.7283,4.43,7.457,3,2,49.69,0,6,33,1
TCMC6438,C30H48O4,Saikogenin G,472.35526,0.6376,4.32,6.754,4,3,69.92,1,6,34,1
TCMC6439,C30H48O4,Saikogenin F,472.35526,0.6376,4.32,6.754,4,3,69.92,1,6,34,1
TCMC668,C15H26O,Alpha-Bisabolol,222.2,2.7502,3,4.085,1,1,20.23,9,1,16,0
TCMC671,C10H16,Alpha-Pinene,136.13,1.5162,2.56,4.177,0,0,0,3,1,10,0
TCMC6866,C17H20O10,Saikochromoside A,384.1056468,-3.0577,2.23,-1.65,7,5,145.91,5,3,27,0
TCMC69,C4H6O5,(2R)-2-Hydroxybutanedioic Acid,134.02,-1.0622,1.35,-1.474,5,3,94.83,6,0,9,0
TCMC72,C5H10N2O3,(2R)-5-Amino-2-Azaniumyl-5-Oxopentanoate,146.07,-1.4816,1.46,-2.943,5,4,107.4,7,0,10,0
TCMC721,C6H14N4O2,Arginine,174.11,-2.1807,1.46,-2.924,6,5,125.22,9,0,12,0
TCMC734,C4H7NO4,Aspartic Acid,133.04,-1.3518,1.35,-3.707,5,3,100.62,6,0,9,0
TCMC756,C21H18O11,Baicalin,446.08,-3.5292,2.56,1.678,7,6,183.21,10,4,32,1
TCMC891,C41H30O27,Chebulagic Acid,954.1,-6.8232,3,-1.67,15,13,447.09,18,8,68,2
TCMC904,C5H14NO,Choline,104.11,-1.5741,1.79,-0.837,1,1,20.23,6,0,7,0
TCMC923,C6H8O7,Citric Acid,192.03,-1.395,1.35,-2.247,7,4,132.13,9,0,13,0
TCMC985,C3H7NO2,D-Alanine,89.05,-1.0955,1.46,-2.824,3,2,63.32,4,0,6,0
TCMC994,C4H7NO4,D-Aspartate,133.04,-1.3518,1.35,-3.707,5,3,100.62,6,0,9,0
TCMC1123,C15H12O6,Eriodictyol,288.06,-2.2747,2.45,0.363,1,4,107.22,5,3,21,0
TCMC1173,C10H10O4,Ferulic Acid,194.06,-0.3908,2.12,1.231,2,2,66.76,6,1,14,0
TCMC1798,C16H12O5,Oroxylin A,284.07,-1.476,2.67,2.719,1,2,75.99,5,3,21,0
TCMC1901,C15H14O2,Pinosylvin Methyl Ether,226.1,-0.0443,2.89,5.973,0,1,29.46,5,2,17,1
TCMC2054,C15H10O6,Scutellarein,286.05,-2.3448,2.45,1.462,1,4,107.22,5,3,21,0
TCMC2055,C21H18O12,Scutellarin,462.08,-3.9895,2.45,0.082,7,7,203.44,11,4,33,1
TCMC2138,C16H12O4,Techtochrysin,268.07,-1.0157,2.78,3.682,1,1,55.76,4,3,20,0
TCMC2188,C17H14O7,Tricin,330.07,-1.9881,2.56,0.679,1,3,105.45,8,3,24,0
TCMC2292,C16H12O6,4'-Hydroxywogonin,300.06,-1.9363,2.56,1.123,1,3,96.22,6,3,22,0
TCMC24,C15H14O6,(+)-Epicatechin,290.08,-2.494,2.45,0.406,1,5,110.38,6,3,21,0
TCMC2886,C12H22O11,Sucrose,342.1162115,-4.3105,1.57,-3.277,11,8,189.53,5,2,23,2
TCMC2922,C10H10O2,"1-Phenyl-1,3-Butanedion",162.0680796,-0.4829,2.34,2.977,2,0,34.14,3,1,12,0
TCMC3452,C19H18O8,"5-Hydroxy-6,7,8,4'-Tetramethoxyflavone,Skullcapflavone I,Skullcapflavone II",374.1001675,-1.2644,2.67,0.313,1,2,94.45,5,3,27,0
TCMC3527,C17H14O6,"5,8-Dihydroxy-6,7-Dimethoxyflavone",314.0790382,-1.1608,2.67,1.834,1,2,75.99,3,3,23,0
TCMC3549,C16H12O6,"5,8,2'-Trihydroxy-7-Methoxyflavone",300.0633881,-1.7439,2.56,1.25,5,3,86.99,2,3,22,0
TCMC3550,C17H14O7,"5,8,2'-Trihydroxy-6,7-Dimethoxyflavone",330.0739528,-1.6211,2.56,0.449,1,3,96.22,3,3,24,0
TCMC3552,C15H12O7,"3,5,7,2'6'-Pentahydroxyflavanone",304.0583027,-2.9269,2.34,-0.401,2,5,127.45,1,3,22,0
TCMC3560,C18H16O7,"5,2'-Dihydroxy-6,7,8-Trimethoxyflavone",344.0896029,-1.3872,2.67,1.325,6,2,85.22,4,3,25,0
TCMC3700,C17H14O5,"5-Hydroxy-7,8-Dimethoxyflavone",298.0841235,-0.8751,2.78,3.154,5,1,55.76,3,3,22,0
TCMC3966,C29H50O,"Sitosterol,Β-Sitosterol",414.3861662,1.3,4.54,11.595,1,1,20.23,6,4,30,1
TCMC3975,C16H12O5,7-Methoxybaicalein,284.0684735,-1.109,2.67,2.707,1,2,66.76,2,3,21,0
TCMC417,C15H10O5,"3',4',7-Trihydroxyflavon",270.05,-1.8845,2.56,1.996,1,3,86.99,4,3,20,0
TCMC4257,C22H20O11,Wogonoside,459.0927364,-3.6061,2.67,0.774,11,4,165.81,5,4,33,1
TCMC4275,C17H14O8,"5,7,2',5'-Tetrahydroxy-8,6'-Dimethoxy Flavone",346.0688674,-2.0814,2.45,-0.725,1,4,116.45,3,3,25,0
TCMC4352,C15H10O6,Isoscutellarein,286.047738,-1.9778,2.45,0.592,1,4,97.99,1,3,21,0
TCMC4355,C15H10O5,Norwogonin,270.0528234,-1.5175,2.56,2.188,1,3,77.76,1,3,20,0
TCMC4408,C28H48O,"Campesterol,M-Cresol",400.3705162,1.9762,4.43,11.026,1,1,20.23,5,4,29,1
TCMC4516,C19H18O8,"5,7-Dihydroxy-6,8,2',3'-Tetramethoxyflavone",374.1001675,-1.2644,2.67,0.313,1,2,94.45,5,3,27,0
TCMC4631,C31H40O15,2-(3-Hydroxy-4-Methoxyphenyl)-Ethyl-1-O-Α-L-Rhamnosyl-(1→3)-Β-D-(4-Feruloyl)-Glucoside,652.2367206,-3.4808,3.22,-0.022,11,7,223.29,13,4,46,3
TCMC4729,C22H22O9,8-Methoxy-5-O-Glucoside Flavone,430.1263823,-2.5702,2.89,2.49,9,4,125.68,5,4,31,0
TCMC4825,C17H14O6,Skullcapflavone I,314.0790382,-1.1608,2.67,1.412,1,2,75.99,3,3,23,0
TCMC4829,C15H10O7,"3,5,7,2',6'-Pentahydroxy Flavone",302.0426527,-2.6088,2.34,0.671,5,5,118.22,1,3,22,0
TCMC4857,C16H12O6,Scutevulin,300.0633881,-1.7439,2.56,1.25,5,3,86.99,2,3,22,0
TCMC4883,C15H10O6,"5,7,2',3'-Tetrahydroxyflavone",286.047738,-2.1524,2.45,0.616,4,4,97.99,1,3,21,0
TCMC4884,C15H10O6,"5,7,2',6'-Tetrahydroxyflavone",286.047738,-2.1524,2.45,0.187,4,4,97.99,1,3,21,0
TCMC4885,C16H14O6,"2,6,2',4'-Tetrahydroxy-6’-Methoxychalcone",302.0790382,-1.7957,2.56,1.146,1,4,107.22,4,2,22,0
TCMC4903,C17H14O7,"5,2',6'-Trihydroxy-7,8-Dimethoxyflavone",330.0739528,-1.6211,2.56,0.238,1,3,96.22,3,3,24,0
TCMC4904,C17H14O7,"5,7,2'-Trihydroxy-8,6'-Dimethoxyflavone",330.0739528,-1.6211,2.56,0.238,1,3,96.22,3,3,24,0
TCMC4906,C16H12O6,"5,7,2'-Trihydroxy-6-Methoxyflavone",300.0633881,-1.7439,2.56,0.917,5,3,86.99,2,3,22,0
TCMC5009,C22H22O10,Wogonin 5-Β-D-Glucoside,446.1212969,-3.0305,2.78,1.527,10,5,145.91,5,4,32,0
TCMC519,C21H20O10,"5,6-Dihydroxy-2-Phenyl-7-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One",432.11,-3.6314,2.67,1.521,6,6,166.14,10,4,31,1
TCMC522,C15H10O5,"5,7-Dihydroxy-2-(2-Hydroxyphenyl)Chromen-4-One",270.05,-1.8845,2.56,1.778,1,3,86.99,4,3,20,0
TCMC534,C16H14O5,"5,7-Dihydroxy-6-Methoxy-2-Phenyl-2,3-Dihydrochromen-4-One",286.08,-1.4059,2.67,2.049,1,2,75.99,5,3,21,0
TCMC606,C16H12O5,Acacetin,284.07,-1.476,2.67,2.086,1,2,75.99,5,3,21,0
TCMC614,C29H36O15,Acetoside,624.21,-4.2978,3,-0.202,11,9,245.29,21,4,44,3
TCMC6194,C22H20O11,Oroxylin A 7-O-Glucuronide,459.0927364,-3.6061,2.67,0.441,11,4,165.81,5,4,33,1
TCMC6548,C18H16O8,"5,2',5'-Trihydroxy-6,7,8-Trimethoxyflavone",360.0845175,-1.8475,2.56,0.151,6,3,105.45,4,3,26,0
TCMC6772,C16H14O6,"5,7,4'-Trihydroxy-6-Methoxyflavanone",302.0790382,-1.8662,2.56,0.453,1,3,96.22,2,3,22,0
TCMC710,C15H10O5,Apigenin,270.05,-1.8845,2.56,1.567,1,3,86.99,4,3,20,0
TCMC7299,C23H24O13,Viscidulin Iii-6'-O-Β-D-Glucopyranoside,508.1216908,-3.8283,2.56,-1.833,6,7,195.6,6,4,36,1
TCMC7360,C16H14O6,"7,2'6'-Trihydroxy-5-Methoxyflavanone",302.0790382,-1.8662,2.56,0.453,1,3,96.22,2,3,22,0
TCMC755,C15H10O5,Baicalein,270.05,-1.8845,2.56,3.058,1,3,86.99,4,3,20,0
TCMC841,C10H10O,Butenone,146.07,0.1072,2.45,4.166,1,0,17.07,3,1,11,0
TCMC897,C16H18O9,Chlorogenic Acid,354.1,-2.1962,2.23,-0.447,7,6,164.75,11,2,25,1
TCMC908,C15H10O4,Chrysin,254.06,-1.4242,2.67,3.163,1,2,66.76,3,3,19,0
TCMC937,C18H20O5,Combretastatin A4,316.13,-0.1997,2.89,3.375,0,1,57.15,11,2,23,0
TCMC1624,C34H24O22,,784.08,-7.049,2.78,-2.756,10,14,388.42,15,6,56,1
TCMC1825,C23H28O11,Paeoniflorin,480.16,-3.3912,2.78,1.22,11,5,164.37,13,5,34,1
TCMC1826,C9H10O3,Paeonol,166.06,-0.766,2.12,1.32,1,1,46.53,5,1,12,0
TCMC2834,C7H6O2,Benzoic Acid,121.0289544,-0.9176,2.01,2.185,2,0,40.13,1,1,9,0
TCMC3,C15H14O6,(-)-Catechin,290.08,-2.494,2.45,0.406,1,5,110.38,6,3,21,0
TCMC3233,C35H60O6,"Alexandrin,Daucosterol,Eleutheroside A",576.4389896,-0.4469,4.65,10.487,6,4,99.38,9,5,41,1
TCMC3245,C27H22O18,Strictinin,634.0806139,-5.5485,2.45,-1.35,9,11,310.66,3,5,45,1
TCMC3246,C23H28O11,Paeonioflorin,480.1631617,-3.3912,2.78,1.22,11,5,164.37,7,5,34,1
TCMC3257,C41H28O26,Casuarictin,936.086881,-7.5719,3.11,-0.967,11,15,444.18,3,8,67,2
TCMC3368,C23H28O12,Oxypaeoniflorin,496.1580763,-3.8515,2.67,-0.376,11,6,184.6,7,5,35,2
TCMC3497,C17H18O6,Paeoniflorigenone,318.1103383,-0.9654,2.67,2.159,6,1,82.06,4,4,23,0
TCMC3524,C15H30O2,13-Methyl Tetradecanoic Acid,241.2167552,-2.6463,2.89,6.459,2,0,40.13,12,0,17,2
TCMC3610,C23H28O11,Albiflorin,480.1631617,-3.3767,2.78,0.81,11,5,172.21,7,4,34,1
TCMC3934,C14H16O10,3-O-Galloyl Quinic Acid,343.0665217,-3.6954,1.9,-2.067,7,6,187.81,4,2,24,1
TCMC3961,C27H24O18,"1,3,6-Trigalloyl-Β-D-Glucose",636.0962639,-5.5485,2.45,-0.947,9,11,310.66,10,4,45,1
TCMC4208,C21H34O10,"Z-1S,5R-Β-Pinen-10-Yl-Β-Vicianoside",446.2151973,-2.6697,2.67,0.415,10,6,158.3,4,3,31,1
TCMC4299,C21H28O3,Pyrethrin I,328.2038448,4.0394,3.44,4.408,3,0,43.37,7,2,24,0
TCMC4342,C22H28O5,Pyrethrin Ii,372.193674,3.4086,3.33,3.274,5,0,69.67,9,2,27,0
TCMC4417,C5H11NO3,L-Α-Amino-Δ-Hydroxyvaleric Acid,133.0738932,-3.5433,1.57,-1.021,3,2,88,4,0,9,0
TCMC4827,C34H24O22,Pedunculagin,784.0759224,-6.5602,2.78,-1.789,10,13,377.42,0,7,56,1
TCMC4900,C27H24O18,"1,2,3-Tri-O-Galloyl-Β-D-Glucose",636.0962639,-5.5485,2.45,-0.518,9,11,310.66,10,4,45,1
TCMC5012,C28H33O16,Peonin,625.17686,-5.5016,2.78,-0.632,10,10,248.45,8,5,44,1
TCMC5238,C22H30O4,Palbinone,358.2144094,0.8294,3.44,4.827,4,2,74.6,0,4,26,0
TCMC5258,C34H26O22,Tellimagrandin I,786.0915725,-6.5602,2.78,-0.957,10,13,377.42,6,6,56,1
TCMC5281,C15H37N5,Aminobutyl Canavalmine,292.3440213,-9.1427,2.56,1.41,0,5,105.11,17,0,20,1
TCMC5311,C10H14O4,Paeonilactone A,198.0892089,-0.4319,2.12,-0.019,4,1,63.6,0,2,14,0
TCMC5375,C10H12O4,Paeonilactone B,196.0735589,-0.2148,2.12,-0.201,4,1,63.6,0,2,14,0
TCMC5427,C17H18O6,Paeonilactone C,318.1103383,-0.9509,2.67,2.335,6,1,89.9,4,3,23,0
TCMC5667,C34H28O22,"1,2,4,6-Tetra-O-Galloyl-Β-D-Glucose",788.1072225,-6.5602,2.78,-0.125,10,13,377.42,13,5,56,2
TCMC5778,C20H18O14,"2,3-O-(S)-Hexahydroxydiphenoyl-D-Glucopyranose",482.0696553,-4.5368,2.12,-2.172,8,9,243.9,1,4,34,1
TCMC6479,C23H28O12,Oxypaeoniflorin,496.1580763,-3.8515,2.67,-0.376,11,6,184.6,7,5,35,2
TCMC6616,C23H28O11,Albiflorin,480.1631617,-3.3767,2.78,0.81,11,5,172.21,7,4,34,1
TCMC6767,C30H32O15,Galloylpaeoniflorin,632.1741203,-4.4029,3.11,1.613,12,7,231.13,10,6,45,2
TCMC7017,C17H18O6,Paeoniflorigenone,318.1103383,-0.9654,2.67,2.159,6,1,82.06,4,4,23,0
TCMC7145,C19H22O7,Canavalia Gibberellin I,360.120903,-2.1754,2.78,-0.858,7,1,126.79,2,5,26,0
TCMC7146,C19H22O6,Canavalia Gibberellin Ii,345.1338134,-1.2063,2.89,-0.355,6,2,106.89,2,5,25,0
TCMC770,C7H6O2,Benzoic Acid,122.04,-0.2398,2.01,2.666,2,1,37.3,2,1,9,0
TCMC876,C34H24O22,Casuariin,784.08,-7.049,2.78,-2.756,10,14,388.42,15,6,56,1
TCMC90,C15H14O7,"(2S,3S)-2-(3,4,5-Trihydroxy-Phenyl)-Chroman-3,5,7-Triol",306.07,-2.9543,2.34,-0.128,1,6,130.61,7,3,22,1
TCMC913,C15H14O6,Cianidanol,290.08,-2.494,2.45,0.406,1,5,110.38,6,3,21,0
TCMC1088,C11H12N2O2,D-Tryptophan,204.09,-1.5048,2.23,-0.96,4,3,79.11,5,2,15,0
TCMC1182,C16H10,Fluoranthene,202.08,0,3.22,8.336,0,0,0,0,4,16,1
TCMC1298,C10H13N5O5,Guanosine,283.09,-2.2152,1.46,-1.643,10,6,156.21,6,3,20,1
TCMC1331,C6H9N3O2,Histidine,155.07,-1.3116,1.57,-3.134,5,3,92,5,1,11,0
TCMC1373,C10H12N4O5,Inosine,268.08,-1.9895,1.57,-1.742,8,4,133.75,6,3,19,0
TCMC1378,C29H36O15,Isoacteoside,624.21,-4.2978,3,-0.202,11,9,245.29,21,4,44,3
TCMC1476,C10H20O,Levomenthol,156.15,0.6563,2.45,3.211,1,1,20.23,5,1,11,0
TCMC1490,C12H14O2,Ligustilide,190.1,0.8112,2.56,2.819,2,0,26.3,3,2,14,0
TCMC1492,C10H18O,Linalool,154.14,2.4692,2.45,2.468,1,1,20.23,8,0,11,0
TCMC1512,C9H11NO2,L-Phenylalanine,165.08,-1.0844,2.12,0.441,3,2,63.32,5,1,12,0
TCMC1513,C5H9NO2,L-Proline,115.06,-1.3817,1.68,-0.185,3,2,49.33,2,1,8,0
TCMC1544,C10H20O,Menthol,156.15,0.6563,2.45,3.211,1,1,20.23,5,1,11,0
TCMC1569,C8H8O3,Methyl Salicylate,152.05,-0.4491,2.01,2.585,2,1,46.53,4,1,11,0
TCMC1578,C11H14O2,Methyleugenol,178.1,0.9251,2.45,3.003,0,0,18.46,6,1,13,0
TCMC1584,C11H15N5O3S,Methylthioadenosine,297.09,-1.1259,1.68,-0.493,8,3,144.61,7,3,20,0
TCMC1742,C6H6N2O,Niacinamide,122.05,-0.0816,1.79,1.043,3,2,56.97,2,1,9,0
TCMC1775,C8H16,Oct-1-Ene,112.13,-0.1376,2.34,4.526,0,0,0,6,0,8,0
TCMC1843,C7H8O,P-Cresol,108.06,0.1817,2.12,2.367,0,1,20.23,2,1,8,0
TCMC1955,C7H6O3,Protocatechualdehyde,138.03,-1.113,1.9,0.95,1,2,57.53,3,1,10,0
TCMC1956,C7H6O4,Protocatechuic Acid,154.03,-1.1604,1.79,0.536,2,3,77.76,4,1,11,0
TCMC2035,C10H10O2,Safrole,162.07,0.726,2.34,2.93,0,0,18.46,2,2,12,0
TCMC2062,C3H7NO3,Serine,105.04,-1.5955,1.35,-3.956,4,3,83.55,5,0,7,0
TCMC2107,C29H48O,Stigmasterol,412.37,1.2566,4.54,11.071,1,1,20.23,12,4,30,1
TCMC2165,C10H14N2O5,Thymidine,242.09,-1.7707,1.79,-1,7,3,102.59,6,2,17,0
TCMC2190,C7H7NO2,Trigonelline,137.05,-2.2592,1.9,0.283,2,0,44.01,3,1,10,0
TCMC2197,C11H12N2O2,Tryptophan,204.09,-1.5048,2.23,-0.96,4,3,79.11,5,2,15,0
TCMC2200,C9H11NO3,Tyrosine,181.07,-1.5447,2.01,-1.577,3,3,83.55,6,1,13,0
TCMC2338,C30H50O,Cycloartenol,426.39,3.2976,4.65,11.921,1,1,20.23,12,5,31,1
